chinese,english,pinyin,notes
米饭,rice,mǐfàn,
面条,noodles,miàntiáo,
包子,steamed bun,bāozi,
饺子,dumpling,jiǎozi,
汤,soup,tāng,
粥,porridge; congee,zhōu,
炒饭,fried rice,chǎofàn,
炒面,stir-fried noodles,chǎomiàn,
馒头,steamed bread,mántou,
烧卖,shumai;dumpling,shāomài,
春卷,spring roll,chūnjuǎn,
蛋炒饭,egg fried rice,dàn chǎofàn,
牛肉,beef,niúròu,
猪肉,pork,zhūròu,
鸡肉,chicken,jīròu,
鱼,fish,yú,
虾,shrimp; prawn,xiā,
蟹,crab,xiè,
豆腐,tofu; bean curd,dòufu,
蔬菜,vegetables,shūcài,
青菜,green vegetables,qīngcài,
白菜,Chinese cabbage,báicài,
茄子,eggplant,qiézi,
土豆,potato,tǔdòu,
洋葱,onion,yángcōng,
辣椒,chili pepper,làjiāo,
蒜,garlic,suàn,
姜,ginger,jiāng,
酱油,soy sauce,jiàngyóu,
醋,vinegar,cù,
盐,salt,yán,
糖,sugar,táng,
油,oil,yóu,
香油,sesame oil,xiāngyóu,
芝麻酱,sesame paste,zhīmájiàng,
花生,peanut,huāshēng,
花生酱,peanut sauce,huāshēng jiàng,
酱,thick sauce; paste,jiàng,
辣,là,spicy,
甜,tián,sweet,
酸,suān,sour,
咸,xián,salty,
苦,kǔ,bitter,
淡,dàn,light taste,
重口味,strong flavor,zhòng kǒuwèi,
清淡,light flavor,qīngdàn,
米粉,rice noodles,mǐfěn,
粉丝,vermicelli; glass noodles,fěnsī,
凉菜,cold dish,liángcài,
热菜,hot dish,rècài,
主食,staple food,zhǔshí,
小吃,snack; street food,xiǎochī,
甜点,dessert,tiándiǎn,
水果,fruit,shuǐguǒ,
饮料,drink; beverage,yǐnliào,
啤酒,beer,píjiǔ,
白酒,Chinese liquor,báijiǔ,
葡萄酒,wine,pútáojiǔ,
红酒,red wine,hóngjiǔ,
绿茶,green tea,lǜchá,
红茶,black tea; red tea,hóngchá,
乌龙茶,oolong tea,wūlóngchá,
花茶,flower tea,huāchá,
冰茶,iced tea,bīngchá,
矿泉水,mineral water,kuàngquánshuǐ,
汽水,soda;qìshuǐ,
可乐,cola,kělè,
